UID          PID    PPID  C STIME TTY          TIME CMD
subhro      3484    3427  0 13:24 ?        00:00:00 /opt/brave.com/brave/brave --type=renderer --crashpad-handler-pid=3416 --enable-crash-reporter=, --enable-distillability-service --origin-trial-public-key=bYUKPJoPnCxeNvu72j4EmPuK7tr1PAC7SHh8ld9Mw3E=,fMS4mpO6buLQ/QMd+zJmxzty/VQ6B1EUZqoCU04zoRU= --change-stack-guard-on-fork=enable --ozone-platform=x11 --lang=en-US --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=7 --time-ticks-at-unix-epoch=-1768463562902051 --launch-time-ticks=104838322 --shared-files=v8_context_snapshot_data:100 --metrics-shmem-handle=4,i,3572336759388832062,6199270375022312761,2097152 --field-trial-handle=3,i,6206807780194701120,11986904053232475309,262144 --variations-seed-version=main@49059dc92039a967a3343fffb32c10ab481ef30b --trace-process-track-uuid=3190708992871164437
root        3562       2  0 13:24 ?        00:00:00 [nvidia-drm/timeline-a]
subhro      3564    3453  0 13:24 ?        00:00:00 /opt/brave.com/brave/brave --type=broker
subhro      3707    3427  6 13:24 ?        00:07:37 /opt/brave.com/brave/brave --type=renderer --crashpad-handler-pid=3416 --enable-crash-reporter=, --enable-distillability-service --origin-trial-public-key=bYUKPJoPnCxeNvu72j4EmPuK7tr1PAC7SHh8ld9Mw3E=,fMS4mpO6buLQ/QMd+zJmxzty/VQ6B1EUZqoCU04zoRU= --change-stack-guard-on-fork=enable --ozone-platform=x11 --lang=en-US --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=18 --time-ticks-at-unix-epoch=-1768463562902051 --launch-time-ticks=121843058 --shared-files=v8_context_snapshot_data:100 --metrics-shmem-handle=4,i,2266986592887508498,11687923241223615606,2097152 --field-trial-handle=3,i,6206807780194701120,11986904053232475309,262144 --variations-seed-version=main@49059dc92039a967a3343fffb32c10ab481ef30b --trace-process-track-uuid=3190709003178624776
subhro      3716    3427  0 13:24 ?        00:00:00 /opt/brave.com/brave/brave --type=renderer --crashpad-handler-pid=3416 --enable-crash-reporter=, --enable-distillability-service --origin-trial-public-key=bYUKPJoPnCxeNvu72j4EmPuK7tr1PAC7SHh8ld9Mw3E=,fMS4mpO6buLQ/QMd+zJmxzty/VQ6B1EUZqoCU04zoRU= --change-stack-guard-on-fork=enable --ozone-platform=x11 --lang=en-US --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=19 --time-ticks-at-unix-epoch=-1768463562902051 --launch-time-ticks=122537170 --shared-files=v8_context_snapshot_data:100 --metrics-shmem-handle=4,i,11187034642438859587,6396282150534249512,2097152 --field-trial-handle=3,i,6206807780194701120,11986904053232475309,262144 --variations-seed-version=main@49059dc92039a967a3343fffb32c10ab481ef30b --trace-process-track-uuid=3190709004115666625
subhro      3763    2447  0 13:25 ?        00:00:00 /usr/bin/update-notifier
subhro      3835    2436  0 13:25 ?        00:00:00 /usr/libexec/gvfsd-recent --spawner :1.25 /org/gtk/gvfs/exec_spaw/1
subhro      3944    2104  0 13:28 ?        00:00:10 /usr/bin/nautilus --gapplication-service
root        3963       2  0 13:28 ?        00:00:00 [nvidia-drm/timeline-c]
root        4585       2  0 13:30 ?        00:00:00 [kworker/14:0-cgroup_destroy]
root        4677       2  0 13:30 ?        00:00:00 [kworker/R-tls-strp]
root        5455       2  0 13:31 ?        00:00:00 [kworker/2:0-rcu_gp]
root        5595       2  0 13:31 ?        00:00:00 [psimon]
root        6196       2  0 13:37 ?        00:00:00 [kworker/14:1]
root        8064       1  0 13:43 ?        00:00:02 /usr/libexec/fwupd/fwupd
subhro      8210    2478  0 13:48 ?        00:00:00 /usr/lib/libreoffice/program/oosplash --writer
subhro      8251    8210  2 13:48 ?        00:02:33 /usr/lib/libreoffice/program/soffice.bin --writer --splash-pipe=5
root        8367       2  0 13:50 ?        00:00:00 [nvidia-drm/timeline-d]
subhro      8375    2436  0 13:50 ?        00:00:00 /usr/libexec/gvfsd-network --spawner :1.25 /org/gtk/gvfs/exec_spaw/2
subhro      8385    2436  0 13:50 ?        00:00:00 /usr/libexec/gvfsd-dnssd --spawner :1.25 /org/gtk/gvfs/exec_spaw/3
subhro      8661    2104  0 13:57 ?        00:00:39 /usr/libexec/gnome-terminal-server
subhro      8673    8661  0 13:57 pts/0    00:00:00 bash
root        8695       2  0 14:00 ?        00:00:00 [kworker/11:2-events]
root        9758       2  0 14:26 ?        00:00:04 [kworker/u64:10-events_unbound]
root        9944       2  0 14:43 ?        00:00:01 [kworker/u64:2-flush-259:0]
root       10060       2  0 14:49 ?        00:00:00 [kworker/4:2]
root       10146       2  0 14:53 ?        00:00:00 [kworker/0:2-events]
root       10178       2  0 14:53 ?        00:00:00 [kworker/u65:0-rtw89_tx_wq]
root       10258       2  0 14:58 ?        00:00:01 [kworker/u64:0-flush-259:0]
root       10439       2  0 15:02 ?        00:00:00 [kworker/u64:1-flush-259:0]
subhro     10545    8661  0 15:04 pts/1    00:00:00 bash
root       10713       2  0 15:08 ?        00:00:00 [kworker/7:2-events]
root       10747       2  0 15:08 ?        00:00:00 [kworker/6:0-events]
root       10804       2  0 15:10 ?        00:00:00 [kworker/8:2-cgroup_destroy]
root       10852       2  0 15:11 ?        00:00:00 [kworker/10:0]
root       10945       2  0 15:13 ?        00:00:00 [kworker/15:2]
root       10997       2  0 15:14 ?        00:00:00 [kworker/u65:1-rtw89_tx_wq]
root       11026       2  0 15:17 ?        00:00:00 [kworker/12:0-events]
root       11027       2  0 15:17 ?        00:00:00 [kworker/11:0]
root       11036       2  0 15:18 ?        00:00:00 [kworker/u64:3-events_unbound]
root       11037       2  0 15:18 ?        00:00:00 [kworker/u64:4]
root       11072       2  0 15:20 ?        00:00:00 [kworker/14:2-mm_percpu_wq]
root       11073       2  0 15:20 ?        00:00:00 [kworker/0:0]
subhro     11092    8673  0 15:20 pts/0    00:00:00 ./a.out
subhro     11097   11092  0 15:20 pts/0    00:00:00 sh -c -- ps -ef > ps_ef.txt
subhro     11098   11097 99 15:20 pts/0    00:00:00 ps -ef
